case_id	truth_reason	predicted_reason	n_candidate_reasons_before_precedence	candidate_reasons	single_final_reason_emitted
R_E0_not_supported_48	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_49	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_supported_50	E0_not_supported	E0_not_supported	2	E0_not_supported;E0_not_estimable	True
R_E0_not_estimable_01	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_02	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_03	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_04	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_05	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_06	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_07	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_08	E0_not_estimable	E0_not_supported	1	E0_not_estimable	True
R_E0_not_estimable_09	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_10	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_11	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_12	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_13	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_14	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_15	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_16	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_17	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_18	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_19	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_20	E0_not_estimable	E0_artifact_dominated	1	E0_not_estimable	True
R_E0_not_estimable_21	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_22	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_23	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_24	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_25	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_26	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_27	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_28	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_29	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_30	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_31	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_32	E0_not_estimable	E0_not_supported	1	E0_not_estimable	True
R_E0_not_estimable_33	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_34	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_35	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_36	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_37	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_38	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_39	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_40	E0_not_estimable	E0_not_estimable	1	E0_not_estimable	True
R_E0_not_estimable_41	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_42	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_43	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_44	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_45	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_46	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_47	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_48	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_49	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_estimable_50	E0_not_estimable	E0_not_estimable	2	E0_not_estimable;E0_not_supported	True
R_E0_not_identifiable_01	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_02	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_03	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_04	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_05	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_06	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_07	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_08	E0_not_identifiable	E0_not_supported	1	E0_not_identifiable	True
R_E0_not_identifiable_09	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_10	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_11	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_12	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_13	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_14	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_15	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_16	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_17	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_18	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_19	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_20	E0_not_identifiable	E0_not_supported	1	E0_not_identifiable	True
R_E0_not_identifiable_21	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_22	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_23	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_24	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_25	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_26	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_27	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_28	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_29	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_30	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_31	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_32	E0_not_identifiable	E0_missing_required_design	1	E0_not_identifiable	True
R_E0_not_identifiable_33	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_34	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_35	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_36	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_37	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_38	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_39	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_40	E0_not_identifiable	E0_not_identifiable	1	E0_not_identifiable	True
R_E0_not_identifiable_41	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_42	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_43	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_44	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_45	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_46	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_47	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_48	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_49	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_not_identifiable_50	E0_not_identifiable	E0_not_identifiable	2	E0_not_identifiable;E0_not_supported	True
R_E0_artifact_dominated_01	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_02	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_03	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_04	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_05	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_06	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_07	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_08	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_09	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_10	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_11	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_12	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_13	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_14	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_15	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_16	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_17	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_18	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_19	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_20	E0_artifact_dominated	E0_not_estimable	1	E0_artifact_dominated	True
R_E0_artifact_dominated_21	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_22	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_23	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_24	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_25	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_26	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_27	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_28	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_29	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_30	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_31	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_32	E0_artifact_dominated	E0_not_identifiable	1	E0_artifact_dominated	True
R_E0_artifact_dominated_33	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_34	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_35	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_36	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_37	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_38	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_39	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_40	E0_artifact_dominated	E0_artifact_dominated	1	E0_artifact_dominated	True
R_E0_artifact_dominated_41	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_42	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_43	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_44	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_45	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_46	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_47	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_48	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_49	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_artifact_dominated_50	E0_artifact_dominated	E0_artifact_dominated	2	E0_artifact_dominated;E0_not_supported	True
R_E0_missing_required_design_01	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_02	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_03	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_04	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_05	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_06	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_07	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_08	E0_missing_required_design	E0_not_supported	1	E0_missing_required_design	True
R_E0_missing_required_design_09	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_10	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_11	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_12	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_13	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_14	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_15	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_16	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_17	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_18	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_19	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_20	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_21	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_22	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_23	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_24	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_25	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_26	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_27	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_28	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_29	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_30	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_31	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_32	E0_missing_required_design	E0_not_supported	1	E0_missing_required_design	True
R_E0_missing_required_design_33	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_34	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_35	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_36	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_37	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_38	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_39	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_40	E0_missing_required_design	E0_missing_required_design	1	E0_missing_required_design	True
R_E0_missing_required_design_41	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_42	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_43	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_44	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_45	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_46	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_47	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_48	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_49	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
R_E0_missing_required_design_50	E0_missing_required_design	E0_missing_required_design	2	E0_missing_required_design;E0_not_supported	True
