packet_id	truth_biological_mode	truth_artifact_class	truth_identifiability	truth_n_blocks	truth_event_support_code	truth_e0_reason_code	truth_v_outcome	truth_v_reversal	truth_v_rescue	truth_v_replication	truth_v_tag
F0039	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0040	activation	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0041	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0042	activation	none	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0043	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0044	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0045	activation	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0046	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0047	activation	composition	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0048	activation	composition	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0049	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0050	activation	composition	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0051	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0052	activation	composition	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0053	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0054	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0055	activation	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0056	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0057	activation	composition	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0058	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0059	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0060	activation	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0061	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0062	activation	composition	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0063	activation	composition	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0064	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0065	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0066	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0067	activation	composition	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0068	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0069	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0070	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0071	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0072	activation	composition	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0073	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0074	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0075	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0076	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0077	activation	composition	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0078	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0079	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0080	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0081	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0082	activation	composition	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0083	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0084	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0085	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0086	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0087	activation	composition	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0088	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0089	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0090	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0091	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0092	activation	stress	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0093	activation	stress	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0094	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0095	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0096	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0097	activation	stress	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0098	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0099	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0100	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0101	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0102	activation	stress	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0103	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0104	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0105	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0106	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0107	activation	stress	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0108	activation	stress	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0109	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0110	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0111	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0112	activation	stress	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0113	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0114	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0115	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0116	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0117	activation	stress	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0118	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0119	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0120	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0121	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0122	activation	stress	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0123	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0124	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0125	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0126	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0127	activation	stress	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0128	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0129	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0130	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0131	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0132	activation	stress	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0133	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0134	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0135	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0136	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0137	suppression	none	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0138	suppression	none	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0139	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0140	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0141	suppression	none	identifiable	3	E1		False	False	False	False	none
F0142	suppression	none	identifiable	3	E1		True	False	False	False	outcome
F0143	suppression	none	identifiable	3	E1		False	True	False	False	reversal
F0144	suppression	none	identifiable	3	E1		False	False	True	False	rescue
F0145	suppression	none	identifiable	3	E1		False	False	False	True	replication
F0146	suppression	none	identifiable	5	E2		False	False	False	False	none
F0147	suppression	none	identifiable	5	E2		True	False	False	False	outcome
F0148	suppression	none	identifiable	5	E2		False	True	False	False	reversal
F0149	suppression	none	identifiable	5	E2		False	False	True	False	rescue
F0150	suppression	none	identifiable	5	E2		False	False	False	True	replication
F0151	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0152	suppression	none	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0153	suppression	none	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0154	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0155	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0156	suppression	none	ambiguous	3	E1		False	False	False	False	none
F0157	suppression	none	ambiguous	3	E1		True	False	False	False	outcome
F0158	suppression	none	ambiguous	3	E1		False	True	False	False	reversal
F0159	suppression	none	ambiguous	3	E1		False	False	True	False	rescue
F0160	suppression	none	ambiguous	3	E1		False	False	False	True	replication
F0161	suppression	none	ambiguous	5	E1		False	False	False	False	none
F0162	suppression	none	ambiguous	5	E1		True	False	False	False	outcome
F0163	suppression	none	ambiguous	5	E1		False	True	False	False	reversal
F0164	suppression	none	ambiguous	5	E1		False	False	True	False	rescue
F0165	suppression	none	ambiguous	5	E1		False	False	False	True	replication
F0166	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0167	suppression	none	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0168	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0169	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0170	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0171	suppression	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0172	suppression	none	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0173	suppression	none	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0174	suppression	none	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0175	suppression	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0176	suppression	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0177	suppression	none	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0178	suppression	none	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0179	suppression	none	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0180	suppression	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0181	suppression	composition	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0182	suppression	composition	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0183	suppression	composition	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0184	suppression	composition	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0185	suppression	composition	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0186	suppression	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0187	suppression	composition	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0188	suppression	composition	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0189	suppression	composition	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0190	suppression	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0191	suppression	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0192	suppression	composition	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0193	suppression	composition	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0194	suppression	composition	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0195	suppression	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0196	suppression	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0197	suppression	composition	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0198	suppression	composition	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0199	suppression	composition	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0200	suppression	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0201	suppression	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0202	suppression	composition	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0203	suppression	composition	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0204	suppression	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0205	suppression	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0206	suppression	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0207	suppression	composition	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0208	suppression	composition	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0209	suppression	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0210	suppression	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0211	suppression	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0212	suppression	composition	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0213	suppression	composition	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0214	suppression	composition	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0215	suppression	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0216	suppression	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0217	suppression	composition	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0218	suppression	composition	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0219	suppression	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0220	suppression	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0221	suppression	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0222	suppression	composition	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0223	suppression	composition	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0224	suppression	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0225	suppression	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0226	suppression	stress	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0227	suppression	stress	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0228	suppression	stress	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0229	suppression	stress	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0230	suppression	stress	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0231	suppression	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0232	suppression	stress	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0233	suppression	stress	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0234	suppression	stress	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0235	suppression	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0236	suppression	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0237	suppression	stress	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0238	suppression	stress	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0239	suppression	stress	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0240	suppression	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0241	suppression	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0242	suppression	stress	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0243	suppression	stress	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0244	suppression	stress	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0245	suppression	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0246	suppression	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0247	suppression	stress	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0248	suppression	stress	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0249	suppression	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0250	suppression	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0251	suppression	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0252	suppression	stress	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0253	suppression	stress	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0254	suppression	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0255	suppression	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0256	suppression	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0257	suppression	stress	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0258	suppression	stress	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0259	suppression	stress	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0260	suppression	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0261	suppression	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0262	suppression	stress	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0263	suppression	stress	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0264	suppression	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0265	suppression	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0266	suppression	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0267	suppression	stress	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0268	suppression	stress	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0269	suppression	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0270	suppression	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0271	delay	none	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0272	delay	none	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0273	delay	none	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0274	delay	none	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0275	delay	none	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0276	delay	none	identifiable	3	E1		False	False	False	False	none
F0277	delay	none	identifiable	3	E1		True	False	False	False	outcome
F0278	delay	none	identifiable	3	E1		False	True	False	False	reversal
F0279	delay	none	identifiable	3	E1		False	False	True	False	rescue
F0280	delay	none	identifiable	3	E1		False	False	False	True	replication
F0281	delay	none	identifiable	5	E2		False	False	False	False	none
F0282	delay	none	identifiable	5	E2		True	False	False	False	outcome
F0283	delay	none	identifiable	5	E2		False	True	False	False	reversal
F0284	delay	none	identifiable	5	E2		False	False	True	False	rescue
F0285	delay	none	identifiable	5	E2		False	False	False	True	replication
F0286	delay	none	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0287	delay	none	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0288	delay	none	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0289	delay	none	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0290	delay	none	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0291	delay	none	ambiguous	3	E1		False	False	False	False	none
F0292	delay	none	ambiguous	3	E1		True	False	False	False	outcome
F0293	delay	none	ambiguous	3	E1		False	True	False	False	reversal
F0294	delay	none	ambiguous	3	E1		False	False	True	False	rescue
F0295	delay	none	ambiguous	3	E1		False	False	False	True	replication
F0296	delay	none	ambiguous	5	E1		False	False	False	False	none
F0297	delay	none	ambiguous	5	E1		True	False	False	False	outcome
F0298	delay	none	ambiguous	5	E1		False	True	False	False	reversal
F0299	delay	none	ambiguous	5	E1		False	False	True	False	rescue
F0300	delay	none	ambiguous	5	E1		False	False	False	True	replication
F0301	delay	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0302	delay	none	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0303	delay	none	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0304	delay	none	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0305	delay	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0306	delay	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0307	delay	none	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0308	delay	none	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0309	delay	none	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0310	delay	none	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0311	delay	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0312	delay	none	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0313	delay	none	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0314	delay	none	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0315	delay	none	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0316	delay	composition	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0317	delay	composition	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0318	delay	composition	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0319	delay	composition	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0320	delay	composition	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0321	delay	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0322	delay	composition	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0323	delay	composition	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0324	delay	composition	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0325	delay	composition	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0326	delay	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0327	delay	composition	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0328	delay	composition	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0329	delay	composition	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0330	delay	composition	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0331	delay	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0332	delay	composition	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0333	delay	composition	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0334	delay	composition	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0335	delay	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0336	delay	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0337	delay	composition	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0338	delay	composition	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0339	delay	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0340	delay	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
