packet_id	variant	predicted_biological_mode	predicted_top_mode	predicted_artifact_class	predicted_identifiability	predicted_event_support_code	predicted_e0_reason_code	ambiguity_returned	collapsed_ladder_overstatement	predicted_v_tag	truth_biological_mode	truth_artifact_class	truth_identifiability	truth_n_blocks	truth_event_support_code	truth_e0_reason_code	truth_v_outcome	truth_v_reversal	truth_v_rescue	truth_v_replication	truth_v_tag
F0062	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_not_estimable	True	False	outcome	activation	composition	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0063	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_not_estimable	True	False	reversal	activation	composition	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0064	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_not_estimable	True	False	rescue	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0065	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_not_estimable	True	False	replication	activation	composition	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0066	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	none	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0067	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	outcome	activation	composition	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0068	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	reversal	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0069	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	rescue	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0070	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	replication	activation	composition	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0071	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	none	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0072	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	outcome	activation	composition	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0073	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	reversal	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0074	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	rescue	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0075	full_ted	ambiguous	activation	composition	ambiguous	E0	E0_artifact_dominated	True	False	replication	activation	composition	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0076	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_estimable	True	False	none	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0077	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_estimable	True	False	outcome	activation	composition	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0078	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_estimable	True	False	reversal	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0079	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_estimable	True	False	rescue	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0080	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_estimable	True	False	replication	activation	composition	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0081	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0082	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	composition	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0083	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0084	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0085	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	composition	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0086	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0087	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	composition	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0088	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0089	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0090	full_ted	ambiguous	activation	composition	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	composition	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0091	full_ted	ambiguous	activation	stress	identifiable	E0	E0_not_estimable	True	False	none	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0092	full_ted	ambiguous	activation	stress	identifiable	E0	E0_not_estimable	True	False	outcome	activation	stress	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0093	full_ted	ambiguous	activation	stress	identifiable	E0	E0_not_estimable	True	False	reversal	activation	stress	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0094	full_ted	ambiguous	activation	stress	identifiable	E0	E0_not_estimable	True	False	rescue	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0095	full_ted	ambiguous	activation	stress	identifiable	E0	E0_not_estimable	True	False	replication	activation	stress	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0096	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	none	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	False	none
F0097	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	outcome	activation	stress	identifiable	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0098	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	reversal	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0099	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	rescue	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0100	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	replication	activation	stress	identifiable	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0101	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	none	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	False	none
F0102	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	outcome	activation	stress	identifiable	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0103	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	reversal	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0104	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	rescue	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0105	full_ted	ambiguous	activation	stress	identifiable	E0	E0_artifact_dominated	True	False	replication	activation	stress	identifiable	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0106	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_not_estimable	True	False	none	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0107	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_not_estimable	True	False	outcome	activation	stress	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0108	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_not_estimable	True	False	reversal	activation	stress	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0109	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_not_estimable	True	False	rescue	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0110	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_not_estimable	True	False	replication	activation	stress	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0111	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	none	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	False	none
F0112	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	outcome	activation	stress	ambiguous	3	E0	E0_artifact_dominated	True	False	False	False	outcome
F0113	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	reversal	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	True	False	False	reversal
F0114	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	rescue	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	True	False	rescue
F0115	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	replication	activation	stress	ambiguous	3	E0	E0_artifact_dominated	False	False	False	True	replication
F0116	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	none	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	False	none
F0117	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	outcome	activation	stress	ambiguous	5	E0	E0_artifact_dominated	True	False	False	False	outcome
F0118	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	reversal	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	True	False	False	reversal
F0119	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	rescue	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	True	False	rescue
F0120	full_ted	ambiguous	activation	stress	ambiguous	E0	E0_artifact_dominated	True	False	replication	activation	stress	ambiguous	5	E0	E0_artifact_dominated	False	False	False	True	replication
F0121	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	none	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0122	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_estimable	True	False	outcome	activation	stress	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0123	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	reversal	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0124	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	rescue	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0125	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_estimable	True	False	replication	activation	stress	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0126	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	False	none
F0127	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	stress	not_identifiable	3	E0	E0_not_identifiable	True	False	False	False	outcome
F0128	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	True	False	False	reversal
F0129	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	True	False	rescue
F0130	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	stress	not_identifiable	3	E0	E0_not_identifiable	False	False	False	True	replication
F0131	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	none	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	False	none
F0132	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	outcome	activation	stress	not_identifiable	5	E0	E0_not_identifiable	True	False	False	False	outcome
F0133	full_ted	ambiguous	activation	none	not_identifiable	E0	E0_not_identifiable	True	False	reversal	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	True	False	False	reversal
F0134	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	rescue	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	True	False	rescue
F0135	full_ted	ambiguous	activation	stress	not_identifiable	E0	E0_not_identifiable	True	False	replication	activation	stress	not_identifiable	5	E0	E0_not_identifiable	False	False	False	True	replication
F0136	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	none	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0137	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	outcome	suppression	none	identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0138	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	reversal	suppression	none	identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0139	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	rescue	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0140	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	replication	suppression	none	identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
F0141	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	none	suppression	none	identifiable	3	E1		False	False	False	False	none
F0142	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	outcome	suppression	none	identifiable	3	E1		True	False	False	False	outcome
F0143	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	reversal	suppression	none	identifiable	3	E1		False	True	False	False	reversal
F0144	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	rescue	suppression	none	identifiable	3	E1		False	False	True	False	rescue
F0145	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	replication	suppression	none	identifiable	3	E1		False	False	False	True	replication
F0146	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	none	suppression	none	identifiable	5	E2		False	False	False	False	none
F0147	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	outcome	suppression	none	identifiable	5	E2		True	False	False	False	outcome
F0148	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	reversal	suppression	none	identifiable	5	E2		False	True	False	False	reversal
F0149	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	rescue	suppression	none	identifiable	5	E2		False	False	True	False	rescue
F0150	full_ted	suppression	suppression	none	identifiable	E2		False	False	replication	suppression	none	identifiable	5	E2		False	False	False	True	replication
F0151	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	none	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	False	False	none
F0152	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	outcome	suppression	none	ambiguous	2	E0	E0_not_estimable	True	False	False	False	outcome
F0153	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	reversal	suppression	none	ambiguous	2	E0	E0_not_estimable	False	True	False	False	reversal
F0154	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	rescue	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	True	False	rescue
F0155	full_ted	ambiguous	suppression	none	ambiguous	E0	E0_not_estimable	True	False	replication	suppression	none	ambiguous	2	E0	E0_not_estimable	False	False	False	True	replication
F0156	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	none	suppression	none	ambiguous	3	E1		False	False	False	False	none
F0157	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	outcome	suppression	none	ambiguous	3	E1		True	False	False	False	outcome
F0158	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	reversal	suppression	none	ambiguous	3	E1		False	True	False	False	reversal
F0159	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	rescue	suppression	none	ambiguous	3	E1		False	False	True	False	rescue
F0160	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	replication	suppression	none	ambiguous	3	E1		False	False	False	True	replication
F0161	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	none	suppression	none	ambiguous	5	E1		False	False	False	False	none
F0162	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	outcome	suppression	none	ambiguous	5	E1		True	False	False	False	outcome
F0163	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	reversal	suppression	none	ambiguous	5	E1		False	True	False	False	reversal
F0164	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	rescue	suppression	none	ambiguous	5	E1		False	False	True	False	rescue
F0165	full_ted	ambiguous	suppression	none	ambiguous	E1		True	False	replication	suppression	none	ambiguous	5	E1		False	False	False	True	replication
F0166	full_ted	ambiguous	suppression	none	not_identifiable	E0	E0_not_estimable	True	False	none	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	False	none
F0167	full_ted	ambiguous	suppression	none	not_identifiable	E0	E0_not_estimable	True	False	outcome	suppression	none	not_identifiable	2	E0	E0_not_estimable	True	False	False	False	outcome
F0168	full_ted	ambiguous	suppression	none	not_identifiable	E0	E0_not_estimable	True	False	reversal	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	True	False	False	reversal
F0169	full_ted	ambiguous	suppression	none	not_identifiable	E0	E0_not_estimable	True	False	rescue	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	True	False	rescue
F0170	full_ted	ambiguous	suppression	none	not_identifiable	E0	E0_not_estimable	True	False	replication	suppression	none	not_identifiable	2	E0	E0_not_estimable	False	False	False	True	replication
