claim_id	manuscript_claim	exact_value	primary_source	interpretive_limit
ZSCAPE-02	ZSCAPE stability	median/min event Jaccard 0.996635/0.982620; direction 1/1; mode 1/0.987013; family Jaccard 1; boundary stability 1	results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/summary.tsv	Within-dataset E2-V0 embryo robustness, not V4 replication.
HOLDOUT-01	Four-dataset frozen-gate audit	3/4 pass; macro 0.75; dataset-bootstrap 95% CI 0.25-1.00; LODO 0.667-1.000	results/ted_submission_supplement/cross_dataset_holdout/cross_dataset_summary.tsv; results/ted_submission_supplement/cross_dataset_holdout/leave_one_dataset_out.tsv; results/ted_submission_supplement/cross_dataset_holdout/cross_dataset_primary_endpoints.tsv	Retrospective, heterogeneous and only four endpoints; no cell-weighted micro estimate or prospective post-freeze dataset.
SCP-01	SCP1064 heavy controls	195,303 aligned cells; cell pairing 4/4; guide-target 4/4; protein columns 4/4; matched random sets 4/4; guide labels 1/4	data/processed/ted_known_source/SCP1064/results/scp1064_heavy_shuffle_summary.tsv	Mandatory guide-label gate failed, preventing E2 promotion.
SCP-02	SCP1064 leave-one-unit stability	3,960 refits; minimum direction stability 1.0	data/processed/ted_known_source/SCP1064/results/scp1064_leave_one_unit_summary.tsv; data/processed/ted_known_source/SCP1064/results/scp1064_leave_one_unit_refits.tsv	Direction stability does not override the failed guide-label control.
SCP-03	SCP1064 final evidence descriptor	negative_control_pass false; heavy_shuffle_pass false; E1-V1 partial	data/processed/ted_known_source/SCP1064/results/scp1064_claim_boundary.tsv; data/processed/ted_known_source/SCP1064/results/scp1064_heavy_shuffle_estimability.tsv	Library and batch leave-out were not estimable from public metadata.
UPSTREAM-01	Upstream sensitivity panel	13 combinations x 6 truth types; PyFgsea true-time metrics all 1.0	results/ted_submission_supplement/upstream_sensitivity/upstream_sensitivity_summary.tsv	Controlled simulation, not a biological cross-software comparison.
UPSTREAM-02	Noisy-time sensitivity	Spearman 0.857161; family 0.833333; mode 0.666667; direction 0.833333; false escalation 0.166667	results/ted_submission_supplement/upstream_sensitivity/upstream_sensitivity_summary.tsv	Shows propagation of upstream time error into event interpretation.
UPSTREAM-03	Scanpy-DPT sensitivity	Spearman 0.735793; family 0.5; mode 0.5; direction 0.666667; false escalation 0.333333; four downgrades	results/ted_submission_supplement/upstream_sensitivity/upstream_sensitivity_summary.tsv	DPT is the only actually tested trajectory alternative; not exhaustive.
UPSTREAM-04	Score-bridge provenance	GSVA-, ssGSEA- and decoupler-labelled rows are internal bridges	results/ted_submission_supplement/upstream_sensitivity/upstream_method_registry.tsv	Do not present these as native package executions.
NATIVE-01	Executable native adapters	tradeSeq 1.24.0; GSVA 2.4.4; AUCell 1.32.0; POT 0.9.6.post1; all exit 0 and recover toy signal	results/ted_submission_supplement/direct_external_baselines_docker/direct_external_baseline_metric_table.tsv; results/ted_submission_supplement/verification_summary.tsv	Execution verification on controlled toy input, not comparative biological performance.
NATIVE-02	Native-adapter runtime	tradeSeq 9.424 s; GSVA/AUCell combined 8.131 s; POT 1.407 s	results/ted_submission_supplement/direct_external_baselines_docker/direct_external_baseline_execution_manifest.tsv	Wrapper timing on controlled toy input.
SCALE-01	One-million-cell full scaling	64 pathways; 10 blocks; 50 windows; 100 permutations; total 5.466761 s; upstream 4.502326 s; event 0.964355 s; peak RSS 341.281 MB	results/ted_submission_supplement/event_layer_scaling/ted_event_layer_scaling.tsv; results/ted_submission_supplement/event_layer_scaling/ted_event_layer_scaling_summary.tsv	Synthetic, single-worker, module-level measurement; not end-to-end real-atlas processing.
SCALE-02	One-million-cell quick scaling	16 pathways; 3 blocks; 20 windows; 20 permutations; total 1.057677 s; upstream 0.899242 s; event 0.158367 s; peak RSS 157.773 MB	results/ted_submission_supplement/event_layer_scaling_quick/ted_event_layer_scaling.tsv; results/ted_submission_supplement/event_layer_scaling_quick/ted_event_layer_scaling_summary.tsv	Synthetic quick profile.
SCALE-03	Rust thread comparison	one thread 0.148251 s; four threads 0.147808 s	results/ted_submission_supplement/parallel_threads_1/ted_performance_summary.csv; results/ted_submission_supplement/parallel_threads_4/ted_performance_summary.csv	No material parallel benefit is claimed for this case.
GSE153-01	RNA-event to PD-L1 protein alignment and block audit	cross-perturbation Spearman 0.784615; direction match 0.769; STAT1 mean block effect -0.915429; independent-block event q 0.055555 passes general E1 q<=0.10 but fails locked primary q<=0.05; CI -1.101414 to -0.729444; stability 1.0; formal descriptor E1-V1; post-hoc E2-eligible sensitivity only	results/ted_known_source_validation/tables/gse153056_pdl1_outcome_alignment.tsv; results/bib_manuscript_revision/gse153056_block_aware/gse153056_block_event_support.tsv; results/bib_manuscript_revision/gse153056_block_aware/gse153056_block_summary.tsv; results/bib_manuscript_revision/gse153056_block_aware/gse153056_stat1_gate_audit.tsv	The independent-block q reconstructs E1. The locked 0.05 primary gate fails; the q-and-CI E2 sensitivity rule was introduced during revision and omitted a complete locked E2 contract.
GSE937-01	Dexamethasone intervention reversal	primary recovery 0.337489; maximum matched negative-control recovery 0.162359; two samples per group; event q unavailable; E0_not_estimable; E0-V2	results/bib_manuscript_revision/gse93735_ev_boundary.tsv; results/ted_known_source_validation/tables/gse93735_reversal_index.tsv; results/ted_known_source_validation/tables/gse93735_negative_control_results.tsv	V2 records the reversal design and readout, but unavailable event-level inference forces E0_not_estimable; not a GATA1 rescue.
GSE271-01	GATA1/T21 erythroid event-loss family	delta AUC -0.251311; 21 matched day x pseudotime-bin x coarse-state design strata; 5,000 permutations; p 0.00019996; q 0.00079984; direction stability 1.0; E1-V0	results/bib_manuscript_revision/gse271399_design_stratum_audit.tsv; results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/gse271399_estimability_audit.tsv	The strata are not independent biological units; donor leave-out is not estimable and matched same-system rescue is absent, so formal E2 is not assigned. The legacy raw table retains historical block_* column names and is not the current claim-boundary record.
GSE271-02	GATA1/T21 donor leave-out estimability	not estimable	results/ted_submission_supplement/zscape_leave_one_embryo_full_refit/gse271399_estimability_audit.tsv	Sample-day and state/bin sensitivity do not establish donor replication.
SW-01	Targeted software verification	43 targeted tests passed; compile and focused mypy passed; release wheel contains activity v1, event v1 and E/V event v2 schemas; installed-wheel and CLI v2 demo validation passed	results/ted_submission_supplement/ev_v2_verification_2026-07-16.tsv; results/ted_validation_demo/demo_events_v2.tsv	Targeted validation only; local ruff and the full repository/remote CI suite were not run here. Schema validation does not establish the truth of external scientific evidence.
